States,Years,Quarter,Districts,Transction_Count,Transaction_Amount
"Andaman and Nicobar Islands",2021,1,"south andaman district",164,167044
"Andhra Pradesh",2023,1,"prakasam district",1437,2188369
"Andaman and Nicobar Islands",2022,1,"nicobars district",28,63852
"Andaman and Nicobar Islands",2021,1,"nicobars district",13,13244
"Andhra Pradesh",2023,1,"anantapur district",1565,2882540
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",81,182061
"Andhra Pradesh",2022,2,"vizianagaram district",1145,1412957
"Andaman and Nicobar Islands",2022,2,"south andaman district",430,633029
"Andaman and Nicobar Islands",2023,1,"nicobars district",47,88146
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",45,90403
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",28,45311
"Andhra Pradesh",2021,4,"ysr district",1449,1479933
"Andhra Pradesh",2022,2,"west godavari district",2141,2903957
"Andhra Pradesh",2022,2,"visakhapatnam district",5851,7046107
"Andhra Pradesh",2021,2,"prakasam district",5308,2719134
"Andhra Pradesh",2021,4,"west godavari district",1262,1853561
"Andhra Pradesh",2022,2,"kurnool district",1233,1573534
"Andaman and Nicobar Islands",2021,4,"south andaman district",632,800758
"Andhra Pradesh",2020,4,"spsr nellore district",1348,810758
"Andhra Pradesh",2020,4,"visakhapatnam district",3464,2203761
"Andaman and Nicobar Islands",2022,2,"south andaman district",430,633029
"Andhra Pradesh",2023,1,"ysr district",1509,2235497
"Andaman and Nicobar Islands",2021,2,"south andaman district",105,121104
"Andaman and Nicobar Islands",2023,2,"north and middle andaman district",56,109742
"Andhra Pradesh",2020,4,"vizianagaram district",897,651040
"Andhra Pradesh",2021,4,"kurnool district",910,1306288
"Andhra Pradesh",2020,4,"prakasam district",1190,572976
"Andaman and Nicobar Islands",2021,4,"nicobars district",44,73561
"Andaman and Nicobar Islands",2022,2,"nicobars district",26,56308
"Andhra Pradesh",2023,1,"west godavari district",2196,3370241
"Andhra Pradesh",2021,2,"anantapur district",1631,1284850
"Andhra Pradesh",2020,4,"visakhapatnam district",3464,2203761
"Andhra Pradesh",2021,4,"chittoor district",2444,3100521
"Andhra Pradesh",2020,4,"anantapur district",1534,794053
"Andhra Pradesh",2022,2,"chittoor district",2836,4207850
"Andaman and Nicobar Islands",2021,2,"nicobars district",4,15089
"Andhra Pradesh",2023,1,"kurnool district",1208,2088411
"Andhra Pradesh",2021,2,"ysr district",1404,1026195
"Andhra Pradesh",2020,4,"prakasam district",1190,572976
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",70,129013
"Andaman and Nicobar Islands",2023,2,"south andaman district",670,1060976
"Andhra Pradesh",2020,4,"ysr district",1165,631876
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",33,50997
"Andhra Pradesh",2023,1,"chittoor district",3284,5677174
"Andhra Pradesh",2021,2,"west godavari district",4170,2327122
"Andhra Pradesh",2022,2,"guntur district",3115,3979873
"Andhra Pradesh",2022,2,"prakasam district",1962,2331922
"Andaman and Nicobar Islands",2023,2,"nicobars district",42,62677
"Andhra Pradesh",2020,4,"west godavari district",1390,906282
"Andaman and Nicobar Islands",2021,3,"south andaman district",182,223699
"Andhra Pradesh",2023,1,"guntur district",3542,4957590
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",48,85229
"Andhra Pradesh",2022,2,"krishna district",4578,5733009
"Andaman and Nicobar Islands",2022,3,"south andaman district",535,687813
"Andaman and Nicobar Islands",2023,3,"north and middle andaman district",77,133536
"Andhra Pradesh",2020,4,"kurnool district",1092,500768
"Andhra Pradesh",2021,2,"kurnool district",1410,941389
